Time (min),Monomer Conversion,Polymer Wt Fraction,Side Product Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds,# Side Prods
0.000005,0.000000,0.999979,0.000000,1210005.130664,1817653.417379,0,4,4,99998,610320268,0
0.166667,0.006717,0.991292,0.000000,1199493.536975,1851177.383433,4100388,274,267,99863,605017430,0
0.333333,0.013411,0.984400,0.000000,1191153.471623,1871053.024319,8186637,264,261,99868,600809945,0
0.500000,0.020058,0.978122,0.000000,1183556.829479,1889063.919570,12244226,260,258,99870,596977513,0
0.666667,0.026742,0.971065,0.000000,1175018.005377,1901719.366771,16324743,300,299,99850,592669785,0
0.833333,0.033340,0.964488,0.000000,1167058.976896,1913286.462694,20352070,260,255,99870,588654512,0
1.000000,0.039922,0.957998,0.000000,1159206.045301,1922688.570312,24370192,262,260,99869,584692788,0
1.166667,0.046529,0.951503,0.000000,1151347.912235,1928242.544079,28403555,252,248,99874,580728433,0
1.333333,0.053091,0.944979,0.000000,1143453.046419,1929424.703876,32409314,246,242,99877,576745549,0
1.500000,0.059585,0.938476,0.000000,1135584.569932,1932459.189937,36373668,238,233,99881,572775977,0
1.666667,0.066055,0.931915,0.000000,1127645.513605,1935667.612100,40323344,254,252,99873,568770812,0
1.833333,0.072473,0.925505,0.000000,1119888.552506,1929896.915097,44240777,254,248,99873,564857503,0
2.000000,0.078938,0.918797,0.000000,1111771.839822,1934168.887893,48187750,268,266,99866,560762711,0
2.166667,0.085342,0.912841,0.000000,1104564.620212,1932410.777327,52096703,254,252,99873,557126733,0
2.333333,0.091718,0.905888,0.000000,1096151.579318,1928457.836543,55988907,276,272,99862,552882451,0
2.500000,0.098132,0.899706,0.000000,1088671.926317,1928159.380368,59904630,274,271,99863,549109040,0
2.666667,0.104463,0.893647,0.000000,1081339.727438,1922757.755865,63768976,244,238,99878,545410002,0
2.833333,0.110811,0.887348,0.000000,1073717.953458,1914881.762677,67644479,250,245,99875,541564897,0
