Time (min),Monomer Conversion,Polymer Wt Fraction,Side Product Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds,# Side Prods
0.000006,0.000000,0.999994,0.000000,1210022.459357,1809865.891860,1,2,2,99999,610329009,0
0.166667,0.003031,0.995813,0.000000,1204963.691272,1843858.596317,1850556,130,130,99935,607776985,0
0.333333,0.006031,0.993023,0.000000,1201587.998548,1872013.394869,3681553,118,118,99941,606073975,0
0.500000,0.009040,0.990193,0.000000,1198163.647079,1899052.988352,5518699,104,104,99948,604346416,0
0.666667,0.012049,0.986962,0.000000,1194253.358255,1922258.049243,7355405,110,110,99945,602373718,0
0.833333,0.015087,0.983858,0.000000,1190497.859127,1943945.984013,9209704,118,118,99941,600479111,0
1.000000,0.018065,0.981060,0.000000,1187112.279668,1963479.212407,11027728,116,116,99942,598771119,0
1.166667,0.021062,0.977831,0.000000,1183204.708439,1972859.059124,12857500,122,121,99939,596799792,0
1.333333,0.024075,0.974812,0.000000,1179551.561289,1987723.727952,14696322,136,136,99932,594956824,0
1.500000,0.027045,0.972127,0.000000,1176302.273281,2000513.595844,16509824,112,112,99944,593317577,0
1.666667,0.030010,0.969079,0.000000,1172615.066891,2004526.423123,18319721,120,119,99940,591457423,0
1.833333,0.032991,0.966202,0.000000,1169133.868209,2012554.905583,20139523,104,104,99948,589701184,0
2.000000,0.035966,0.963149,0.000000,1165438.886249,2018193.373095,21955351,108,106,99946,587837105,0
2.166667,0.038949,0.959980,0.000000,1161604.915364,2025391.127759,23776345,132,131,99934,585902919,0
2.333333,0.041921,0.957025,0.000000,1158028.928958,2027644.780674,25590445,122,119,99939,584098864,0
2.500000,0.044859,0.954297,0.000000,1154728.567161,2029824.714427,27384265,114,113,99943,582433860,0
2.666667,0.047833,0.951230,0.000000,1151016.435508,2032955.326309,29199330,116,115,99942,580561128,0
2.833334,0.050773,0.948331,0.000000,1147508.667895,2035766.293473,30993976,110,110,99945,578791491,0
3.000000,0.053719,0.945350,0.000000,1143901.712854,2037748.891132,32792841,118,118,99941,576971823,0
3.166667,0.056665,0.942259,0.000000,1140162.205036,2041028.770878,34591109,120,118,99940,575085280,0
3.333333,0.059608,0.939269,0.000000,1136544.118137,2043362.251537,36387723,140,139,99930,573260003,0
3.500000,0.062538,0.936420,0.000000,1133095.917740,2043952.174270,38176345,120,120,99940,571520409,0
3.666667,0.065458,0.933527,0.000000,1129595.556406,2043252.964026,39958990,122,122,99939,569754513,0
3.833333,0.068370,0.930677,0.000000,1126146.786392,2048110.029361,41736166,120,119,99940,568014642,0
4.000000,0.071286,0.927813,0.000000,1122681.361279,2045560.784236,43516417,96,95,99952,566266356,0
4.166667,0.074203,0.924862,0.000000,1119111.034586,2041257.415860,45296799,122,122,99939,564465177,0
4.333333,0.077088,0.922130,0.000000,1115805.294904,2042629.324994,47058325,102,99,99949,562797453,0
4.500000,0.079953,0.919186,0.000000,1112242.676331,2035934.713571,48807450,106,106,99947,561000150,0
4.666667,0.082842,0.916229,0.000000,1108664.316028,2036105.199020,50570637,104,103,99948,559194902,0
4.833333,0.085703,0.913154,0.000000,1104943.361834,2033311.673657,52317312,144,144,99928,557317741,0
5.000000,0.088564,0.910463,0.000000,1101687.012930,2036771.830008,54063727,122,121,99939,555674933,0
5.166667,0.091430,0.907690,0.000000,1098332.584167,2034897.294235,55813039,104,102,99948,553982647,0
5.333333,0.094319,0.904483,0.000000,1094451.298770,2030908.438094,57576731,124,123,99938,552024589,0
5.500000,0.097192,0.901871,0.000000,1091290.945706,2023650.258712,59330886,116,116,99942,550430218,0
5.666667,0.100061,0.899168,0.000000,1088019.815412,2026070.419917,61081836,108,108,99946,548779961,0
5.833333,0.102892,0.896107,0.000000,1084316.287463,2022591.859686,62810305,130,128,99935,546911581,0
6.000000,0.105722,0.893320,0.000000,1080944.269561,2019315.631679,64537891,106,106,99947,545210418,0
6.166667,0.108565,0.890647,0.000000,1077709.719565,2017849.409177,66273230,106,105,99947,543578620,0
6.333333,0.111418,0.887573,0.000000,1073990.078613,2012357.815684,68014642,126,126,99937,541702110,0
6.500000,0.114254,0.884830,0.000000,1070671.023590,1998176.132454,69746186,112,112,99944,540027672,0
6.666667,0.117091,0.881928,0.000000,1067159.374229,2000980.802406,71478173,110,108,99945,538256079,0
6.833333,0.119912,0.879237,0.000000,1063902.532235,1995239.083489,73200100,98,98,99951,536613028,0
7.000000,0.122746,0.876270,0.000000,1060313.571003,1989300.421744,74930280,110,107,99945,534802440,0
