Time (min),Monomer Conversion,Polymer Wt Fraction,Side Product Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds,# Side Prods
0.000006,0.000000,0.999979,0.000000,1210004.338084,1812695.167022,1,2,2,99999,610319867,0
0.166667,0.006661,0.991143,0.000000,1199312.460421,1844274.472822,4066384,278,276,99861,604926081,0
0.333333,0.013370,0.984864,0.000000,1191715.445693,1868516.374083,8161744,234,233,99883,601093438,5
0.500000,0.020041,0.977574,0.000000,1182893.675691,1888125.301528,12234162,292,289,99854,596642977,7
0.666667,0.026709,0.971317,0.000000,1175322.747494,1911874.487664,16304311,256,251,99872,592823499,20
0.833333,0.033341,0.964848,0.000000,1167494.526250,1926248.357929,20353211,230,226,99885,588874225,42
1.000000,0.039982,0.957637,0.000000,1158769.897022,1927544.680849,24406877,294,294,99853,584472774,71
1.166667,0.046488,0.951758,0.000000,1151655.140740,1938032.710065,28378418,256,248,99872,580883429,111
1.333333,0.053034,0.944833,0.000001,1143275.850411,1941954.500183,32374203,254,250,99873,576656160,167
1.500000,0.059487,0.938329,0.000001,1135405.712718,1944568.977157,36313575,260,257,99870,572685758,228
1.666667,0.066004,0.931716,0.000001,1127404.204596,1939831.948514,40291997,280,277,99860,568649089,350
1.833333,0.072475,0.925553,0.000002,1119947.114445,1941182.201542,44242035,242,242,99879,564887040,478
2.000000,0.078967,0.919098,0.000002,1112136.056824,1938260.164622,48205057,244,240,99878,560946441,621
2.166667,0.085416,0.912171,0.000003,1103754.379556,1926229.244744,52142089,284,279,99858,556717992,778
2.333333,0.091842,0.906061,0.000003,1096361.367507,1923300.305058,56064875,236,231,99882,552988264,972
2.500000,0.098206,0.899967,0.000004,1088987.524465,1913444.221041,59949745,220,217,99890,549268225,1195
2.666667,0.104582,0.893046,0.000005,1080612.613402,1909673.314112,63841748,280,277,99860,545043201,1425
2.833333,0.110929,0.887048,0.000006,1073354.947280,1911210.183284,67716536,276,271,99862,541381779,1694
3.000000,0.117259,0.880591,0.000007,1065541.206485,1902366.785670,71580800,260,257,99870,537439816,1996
3.166667,0.123545,0.874612,0.000008,1058306.213067,1905370.561553,75417609,254,252,99873,533789831,2373
3.333333,0.129816,0.868389,0.000009,1050776.209124,1895757.114097,79245885,246,240,99877,529991015,2766
3.500000,0.136087,0.862103,0.000010,1043170.771480,1890846.127275,83073790,232,227,99884,526154140,3158
3.666667,0.142321,0.855847,0.000012,1035600.567796,1881602.578098,86879346,242,238,99879,522335054,3602
3.833333,0.148513,0.849486,0.000013,1027903.576352,1876026.443997,90659379,254,252,99873,518452006,4099
4.000000,0.154677,0.843430,0.000015,1020575.911721,1867326.442699,94422053,244,239,99878,514755267,4614
4.166667,0.160816,0.837070,0.000017,1012879.840620,1858080.176664,98169739,252,245,99874,510872681,5190
4.333333,0.166928,0.831236,0.000019,1005820.586170,1849314.373429,101900865,252,250,99874,507311358,5807
4.500000,0.173020,0.825167,0.000021,998476.243485,1841657.134493,105619515,254,253,99873,503606212,6497
4.666667,0.179045,0.819451,0.000024,991560.143766,1832632.167592,109297540,226,220,99887,500117093,7229
4.833333,0.185045,0.812922,0.000026,983660.060252,1821622.268454,112960494,250,246,99875,496131594,7999
5.000000,0.191002,0.807272,0.000029,976823.809849,1813186.740810,116596625,246,242,99877,492682772,8857
5.166667,0.196997,0.801255,0.000032,969542.955473,1797347.820962,120256710,232,230,99884,489009646,9797
5.333333,0.202964,0.795177,0.000035,962188.474492,1785280.132742,123898687,256,253,99872,485299398,10792
5.500000,0.208900,0.789262,0.000039,955030.012080,1773591.226883,127522471,222,221,99889,481688006,11834
5.666667,0.214802,0.783612,0.000042,948193.608023,1761057.196354,131125631,238,233,99881,478239118,12923
5.833333,0.220678,0.777739,0.000046,941087.062969,1753553.645665,134712688,220,215,99890,474653927,14032
6.000000,0.226562,0.771504,0.000050,933542.948099,1742918.873039,138304566,236,236,99882,470848006,15184
6.166667,0.232433,0.765795,0.000054,926634.668089,1730980.387137,141888500,248,245,99876,467362855,16373
6.333333,0.238266,0.760141,0.000058,919792.734364,1724497.315392,145449148,220,218,99890,463911152,17620
6.500000,0.244077,0.754337,0.000062,912770.568079,1716199.255525,148996245,212,208,99894,460368535,19012
6.666667,0.249873,0.748487,0.000067,905691.745404,1706008.030598,152534185,238,234,99881,456797355,20447
6.833333,0.255596,0.742811,0.000072,898823.891707,1692732.585451,156027951,228,225,99886,453332586,22048
7.000000,0.261301,0.737150,0.000078,891973.839724,1681206.837873,159510678,234,228,99883,449876807,23681
7.166667,0.266985,0.731344,0.000083,884947.797212,1672752.518311,162980599,246,242,99877,446332246,25336
7.333333,0.272676,0.725404,0.000089,877759.999074,1656610.431056,166454619,246,239,99877,442706074,27039
7.500000,0.278331,0.720048,0.000094,871279.171909,1651403.735752,169906519,236,231,99882,439436556,28790
7.666667,0.283998,0.714397,0.000100,864441.928247,1639614.369318,173366092,220,213,99890,435987226,30638
7.833333,0.289598,0.708676,0.000107,857519.724362,1626393.673376,176784477,238,234,99881,432495054,32613
8.000000,0.295208,0.703123,0.000113,850799.484497,1615721.858878,180209141,232,231,99884,429104757,34638
8.166667,0.300756,0.697657,0.000120,844185.958229,1602673.303167,183595853,240,239,99880,425768304,36705
8.333333,0.306334,0.692130,0.000127,837498.158093,1590057.321739,187000957,214,206,99893,422394361,38893
8.500000,0.311886,0.686425,0.000135,830594.452576,1581674.238613,190390449,242,238,99879,418911527,41122
8.666667,0.317405,0.680920,0.000142,823933.644660,1571602.705204,193759318,212,207,99894,415551199,43518
8.833333,0.322876,0.675556,0.000150,817442.740769,1557084.679305,197099053,210,206,99895,412276602,45930
9.000000,0.328344,0.670360,0.000158,811155.222137,1546315.593149,200437191,184,181,99908,409104597,48374
9.166667,0.333827,0.664558,0.000167,804135.142615,1531445.285341,203783830,232,224,99884,405563065,50976
9.333333,0.339271,0.659079,0.000176,797505.070746,1521703.367409,207107309,228,223,99886,402218258,53705
9.500000,0.344593,0.653765,0.000185,791074.881217,1513439.223118,210355859,242,236,99879,398974300,56468
9.666667,0.350008,0.648508,0.000195,784713.722474,1500769.880688,213661401,212,205,99894,395765142,59410
9.833333,0.355311,0.643008,0.000204,778059.331649,1491932.824302,216898992,230,225,99885,392408079,62384
10.000000,0.360607,0.637808,0.000214,771766.753717,1481064.159525,220131919,222,219,99889,389233532,65349
10.166667,0.365861,0.632661,0.000224,765538.246259,1471950.597120,223339134,202,195,99899,386091301,68384
