Time (min),Monomer Conversion,Polymer Wt Fraction,Side Product Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds,# Side Prods
0.000002,0.000000,0.999988,0.000000,1210016.040993,1816184.734118,1,2,2,99999,610325771,0
0.166667,0.003030,0.996047,0.000000,1205247.611211,1855167.429138,1849577,120,120,99940,607920214,0
0.333333,0.006046,0.993004,0.000000,1201565.113872,1885829.266845,3691011,106,106,99947,606062423,0
0.500000,0.009056,0.990084,0.000000,1198031.258101,1910813.199187,5528403,116,113,99942,604279634,9
0.666667,0.012050,0.987034,0.000000,1194340.739577,1933152.945003,7355775,110,110,99945,602417801,22
0.833333,0.015043,0.983992,0.000000,1190660.468904,1947721.839517,9182682,118,118,99941,600561146,42
1.000000,0.018038,0.981001,0.000000,1187040.729876,1963444.649755,11011262,118,118,99941,598735024,77
1.166667,0.021033,0.978032,0.000000,1183448.581089,1983977.835084,12839816,118,116,99941,596922821,118
1.333333,0.024024,0.974870,0.000001,1179621.935636,1991846.521105,14665282,134,134,99933,594992326,179
1.500000,0.026998,0.972103,0.000001,1176274.307802,1999046.838337,16480878,116,115,99942,593303471,252
1.666667,0.029992,0.969083,0.000001,1172620.235990,2009758.586462,18308616,110,110,99945,591460025,342
1.833333,0.032960,0.966045,0.000002,1168943.186091,2012817.458650,20120443,120,120,99940,589604996,461
2.000000,0.035926,0.963009,0.000002,1165269.793652,2020430.323982,21931028,128,127,99936,587751811,591
2.166667,0.038884,0.960291,0.000002,1161981.536495,2023448.703982,23736601,98,97,99951,586092901,755
2.333333,0.041839,0.957330,0.000003,1158398.273487,2025675.874832,25540651,114,113,99943,584285190,936
2.500000,0.044794,0.954279,0.000004,1154706.617659,2032643.631179,27344301,118,118,99941,582422789,1161
2.666667,0.047717,0.951207,0.000005,1150989.363222,2040044.263638,29129054,112,111,99944,580547468,1412
2.833334,0.050695,0.948219,0.000006,1147373.597478,2040290.678212,30946375,132,132,99934,578723362,1688
3.000000,0.053648,0.945487,0.000007,1144068.006160,2044063.464661,32749029,114,114,99943,577055714,2057
3.166667,0.056586,0.942373,0.000008,1140300.364978,2045669.457894,34542863,116,115,99942,575154978,2422
3.333333,0.059504,0.939642,0.000009,1136994.933492,2046226.791756,36324390,116,115,99942,573487421,2809
3.500000,0.062421,0.936465,0.000011,1133151.028245,2055093.860890,38104616,124,123,99938,571548214,3280
3.666667,0.065333,0.933811,0.000012,1129939.176969,2053590.658419,39882303,94,93,99953,569927850,3729
3.833333,0.068262,0.930619,0.000014,1126076.896481,2051208.102878,41670663,130,127,99935,567979389,4294
4.000000,0.071161,0.927882,0.000016,1122764.745160,2050571.974116,43440352,118,118,99941,566308435,4870
4.166667,0.074073,0.924896,0.000018,1119151.615689,2051205.792309,45217734,112,112,99944,564485644,5483
4.333333,0.076963,0.922157,0.000020,1115837.983063,2049377.433917,46982214,104,102,99948,562813945,6155
4.500000,0.079874,0.919048,0.000022,1112075.711537,2044235.488830,48758691,120,118,99940,560915926,6841
4.666667,0.082757,0.916297,0.000025,1108746.756505,2039012.244161,50518645,112,112,99944,559236497,7560
