run_id,n_configs,configs_found,A_D,A_SR,total_sse,sse_monomer,sse_products,sse_T_300,sse_T_250,sse_T_250_high_rho
run_025,3,"T_300, T_250, T_250_high_rho",389049300000.0,5616268.0,0.099917320135416,0.049922442669000026,0.049994877466415975,0.005603751844661565,0.09144329324506444,0.002870275045690003
run_020,3,"T_300, T_250, T_250_high_rho",300706200000.0,1453949.0,0.12859738345648203,0.06427331314100002,0.06432407031548201,0.07246900054111169,0.02039145468383593,0.035736928231534404
run_002,3,"T_300, T_250, T_250_high_rho",248479800000.0,3363786.0,0.13632767049508665,0.06821357639600004,0.06811409409908661,0.03000008595004873,0.0030228887038370005,0.10330469584120093
run_035,3,"T_300, T_250, T_250_high_rho",346155100000.0,1107542.0,0.146978795858732,0.07345384323000001,0.07352495262873197,0.08285247350147618,0.0552602084296782,0.00886611392757761
run_030,3,"T_300, T_250, T_250_high_rho",413599400000.0,1302170.0,0.19582441040567022,0.09787827838900005,0.0979461320166702,0.07684507163644166,0.11849089846086217,0.0004884403083663971
run_018,3,"T_300, T_250, T_250_high_rho",697435300000.0,7316816.0,0.26678062987672835,0.13338056839499998,0.13340006148172834,0.00010263631182144338,0.2465714505949069,0.02010654296999999
run_019,3,"T_300, T_250, T_250_high_rho",7738460000000.0,8409379.0,0.2786630422199386,0.13932545034500002,0.1393375918749386,0.0008112329519257658,0.27343549934561917,0.004416309922393674
run_013,3,"T_300, T_250, T_250_high_rho",4233153000000.0,13234720.0,0.28761060643296504,0.143830216178,0.14378039025496506,0.027504403392313595,0.25955533236958583,0.0005508706710656028
run_022,3,"T_300, T_250, T_250_high_rho",1019499000000.0,5816245.0,0.30411162311038187,0.15204053513299998,0.15207108797738186,0.004323720496000491,0.2720843553187493,0.027703547295632083
run_037,3,"T_300, T_250, T_250_high_rho",885288600000.0,4507090.0,0.321531099774887,0.160748449094,0.160782650680887,0.014361820399403032,0.26999677729124394,0.037172502084239986
run_029,3,"T_300, T_250, T_250_high_rho",1749888000000.0,18467590.0,0.33267167533323233,0.166396814962,0.16627486037123235,0.07855878197472785,0.24819561758589642,0.005917275772608105
run_027,3,"T_300, T_250, T_250_high_rho",5817572000000.0,19563440.0,0.35384198387886395,0.17699822606700003,0.17684375781186393,0.09066327420155625,0.2439682001358177,0.019210509541490013
run_000,3,"T_300, T_250, T_250_high_rho",3641683000000.0,3105161.0,0.36692211198754626,0.18344305478899997,0.18347905719854632,0.033541678177322364,0.2911779260249958,0.04220250778522809
run_038,3,"T_300, T_250, T_250_high_rho",966763600000.0,2513948.0,0.37799034434752177,0.18897987357799995,0.1890104707695218,0.04537009835890439,0.2790768016377285,0.05354344435088889
run_028,3,"T_300, T_250, T_250_high_rho",4753946000000.0,2149534.0,0.4018432754861425,0.20090608222300008,0.20093719326314238,0.05337707729223344,0.295281373845349,0.053184824348560006
