run_path,config_name,run_id,A_D,A_SR,sse_at_config,sse_monomer_at_config,sse_products_at_config
T_300/run_031,T_300,run_031,526912100000.0,521945400.0,1.001699943098711,0.5012943028579601,0.500405640240751
T_300/run_003,T_300,run_003,459137800000.0,734590300.0,1.0352496675173604,0.51808224070849,0.5171674268088704
T_300/run_009,T_300,run_009,573612300000.0,449391800.0,0.983479134904597,0.49217689243024,0.49130224247435705
T_300/run_028,T_300,run_028,4753946000000.0,2149534.0,0.05337707729223344,0.026679302243999996,0.026697775048233445
T_300/run_022,T_300,run_022,1019499000000.0,5816245.0,0.004323720496000491,0.002155652041000005,0.002168068455000486
T_300/run_010,T_300,run_010,2897982000000.0,35351720.0,0.2571847462065593,0.128735287209,0.12844945899755927
T_300/run_017,T_300,run_017,8443494000000.0,51379470.0,0.39280424230639355,0.19660356,0.1962006823063935
T_300/run_025,T_300,run_025,389049300000.0,5616268.0,0.005603751844661565,0.0027950254240000027,0.002808726420661563
T_300/run_004,T_300,run_004,2777118000000.0,276198300.0,0.9073076953865338,0.45406169328100005,0.4532460021055337
T_300/run_036,T_300,run_036,2276826000000.0,30370680.0,0.20699437603781098,0.103617678609,0.10337669742881099
T_300/run_038,T_300,run_038,966763600000.0,2513948.0,0.04537009835890439,0.022675239889000005,0.02269485846990438
T_300/run_032,T_300,run_032,1170211000000.0,1813350.0,0.06205362474090224,0.031018254400000018,0.03103537034090222
T_300/run_000,T_300,run_000,3641683000000.0,3105161.0,0.033541678177322364,0.016760668369,0.016781009808322363
T_300/run_021,T_300,run_021,130312700000.0,84444720.0,0.5687377317789191,0.284642523361,0.2840952084179191
T_300/run_013,T_300,run_013,4233153000000.0,13234720.0,0.027504403392313595,0.013780412099999998,0.013723991292313598
T_300/run_019,T_300,run_019,7738460000000.0,8409379.0,0.0008112329519257658,0.00040917198400000095,0.00040206096792576486
T_300/run_014,T_300,run_014,3485664000000.0,315334400.0,0.9312061918383199,0.46602017005489,0.4651860217834299
T_300/run_026,T_300,run_026,725527300000.0,112237000.0,0.6737278948017801,0.337179971584,0.3365479232177801
T_300/run_007,T_300,run_007,1506015000000.0,241522200.0,0.8809746850270808,0.44088511046724005,0.4400895745598407
T_300/run_035,T_300,run_035,346155100000.0,1107542.0,0.08285247350147618,0.041419983361,0.04143249014047617
T_300/run_005,T_300,run_005,1911878000000.0,127494800.0,0.714494913972862,0.35758008039999994,0.356914833572862
T_300/run_037,T_300,run_037,885288600000.0,4507090.0,0.014361820399403032,0.007171718596000007,0.007190101803403026
T_300/run_016,T_300,run_016,171280800000.0,14866730.0,0.03996215203451401,0.020017439289000006,0.019944712745514005
T_300/run_024,T_300,run_024,1305796000000.0,61591190.0,0.4603620045720058,0.23041056012100003,0.22995144445100577
T_300/run_023,T_300,run_023,6770583000000.0,42498680.0,0.3220774230283113,0.1612102801,0.1608671429283113
T_300/run_029,T_300,run_029,1749888000000.0,18467590.0,0.07855878197472785,0.03933756556899999,0.03922121640572785
T_300/run_011,T_300,run_011,141731100000.0,64271130.0,0.4686638582153606,0.234564893761,0.23409896445436057
T_300/run_030,T_300,run_030,413599400000.0,1302170.0,0.07684507163644166,0.038415608001000016,0.03842946363544165
