run_id,config_name,temperature,density,time,A_D,A_SR,directory
0,T_250,250,0.005,61,3.641683E+12,3.105161E+06,search_3_29_26/T_250/run_000
1,T_250,250,0.005,61,2.028010E+11,9.390688E+07,search_3_29_26/T_250/run_001
2,T_250,250,0.005,61,2.484798E+11,3.363786E+06,search_3_29_26/T_250/run_002
3,T_250,250,0.005,61,4.591378E+11,7.345903E+08,search_3_29_26/T_250/run_003
4,T_250,250,0.005,61,2.777118E+12,2.761983E+08,search_3_29_26/T_250/run_004
5,T_250,250,0.005,61,1.911878E+12,1.274948E+08,search_3_29_26/T_250/run_005
6,T_250,250,0.005,61,1.852707E+11,3.658414E+08,search_3_29_26/T_250/run_006
7,T_250,250,0.005,61,1.506015E+12,2.415222E+08,search_3_29_26/T_250/run_007
8,T_250,250,0.005,61,2.644057E+11,7.001865E+08,search_3_29_26/T_250/run_008
9,T_250,250,0.005,61,5.736123E+11,4.493918E+08,search_3_29_26/T_250/run_009
10,T_250,250,0.005,61,2.897982E+12,3.535172E+07,search_3_29_26/T_250/run_010
11,T_250,250,0.005,61,1.417311E+11,6.427113E+07,search_3_29_26/T_250/run_011
12,T_250,250,0.005,61,9.142834E+12,2.572777E+07,search_3_29_26/T_250/run_012
13,T_250,250,0.005,61,4.233153E+12,1.323472E+07,search_3_29_26/T_250/run_013
14,T_250,250,0.005,61,3.485664E+12,3.153344E+08,search_3_29_26/T_250/run_014
15,T_250,250,0.005,61,5.161333E+12,8.461294E+08,search_3_29_26/T_250/run_015
16,T_250,250,0.005,61,1.712808E+11,1.486673E+07,search_3_29_26/T_250/run_016
17,T_250,250,0.005,61,8.443494E+12,5.137947E+07,search_3_29_26/T_250/run_017
18,T_250,250,0.005,61,6.974353E+11,7.316816E+06,search_3_29_26/T_250/run_018
19,T_250,250,0.005,61,7.738460E+12,8.409379E+06,search_3_29_26/T_250/run_019
20,T_250,250,0.005,61,3.007062E+11,1.453949E+06,search_3_29_26/T_250/run_020
21,T_250,250,0.005,61,1.303127E+11,8.444472E+07,search_3_29_26/T_250/run_021
22,T_250,250,0.005,61,1.019499E+12,5.816245E+06,search_3_29_26/T_250/run_022
23,T_250,250,0.005,61,6.770583E+12,4.249868E+07,search_3_29_26/T_250/run_023
24,T_250,250,0.005,61,1.305796E+12,6.159119E+07,search_3_29_26/T_250/run_024
25,T_250,250,0.005,61,3.890493E+11,5.616268E+06,search_3_29_26/T_250/run_025
26,T_250,250,0.005,61,7.255273E+11,1.122370E+08,search_3_29_26/T_250/run_026
27,T_250,250,0.005,61,5.817572E+12,1.956344E+07,search_3_29_26/T_250/run_027
28,T_250,250,0.005,61,4.753946E+12,2.149534E+06,search_3_29_26/T_250/run_028
29,T_250,250,0.005,61,1.749888E+12,1.846759E+07,search_3_29_26/T_250/run_029
30,T_250,250,0.005,61,4.135994E+11,1.302170E+06,search_3_29_26/T_250/run_030
31,T_250,250,0.005,61,5.269121E+11,5.219454E+08,search_3_29_26/T_250/run_031
32,T_250,250,0.005,61,1.170211E+12,1.813350E+06,search_3_29_26/T_250/run_032
33,T_250,250,0.005,61,2.099131E+12,1.687344E+08,search_3_29_26/T_250/run_033
34,T_250,250,0.005,61,1.118045E+11,1.959955E+08,search_3_29_26/T_250/run_034
35,T_250,250,0.005,61,3.461551E+11,1.107542E+06,search_3_29_26/T_250/run_035
36,T_250,250,0.005,61,2.276826E+12,3.037068E+07,search_3_29_26/T_250/run_036
37,T_250,250,0.005,61,8.852886E+11,4.507090E+06,search_3_29_26/T_250/run_037
38,T_250,250,0.005,61,9.667636E+11,2.513948E+06,search_3_29_26/T_250/run_038
39,T_250,250,0.005,61,1.180724E+11,9.799584E+06,search_3_29_26/T_250/run_039
40,T_300,300,0.005,61,3.641683E+12,3.105161E+06,search_3_29_26/T_300/run_000
41,T_300,300,0.005,61,2.028010E+11,9.390688E+07,search_3_29_26/T_300/run_001
42,T_300,300,0.005,61,2.484798E+11,3.363786E+06,search_3_29_26/T_300/run_002
43,T_300,300,0.005,61,4.591378E+11,7.345903E+08,search_3_29_26/T_300/run_003
44,T_300,300,0.005,61,2.777118E+12,2.761983E+08,search_3_29_26/T_300/run_004
45,T_300,300,0.005,61,1.911878E+12,1.274948E+08,search_3_29_26/T_300/run_005
46,T_300,300,0.005,61,1.852707E+11,3.658414E+08,search_3_29_26/T_300/run_006
47,T_300,300,0.005,61,1.506015E+12,2.415222E+08,search_3_29_26/T_300/run_007
48,T_300,300,0.005,61,2.644057E+11,7.001865E+08,search_3_29_26/T_300/run_008
49,T_300,300,0.005,61,5.736123E+11,4.493918E+08,search_3_29_26/T_300/run_009
50,T_300,300,0.005,61,2.897982E+12,3.535172E+07,search_3_29_26/T_300/run_010
51,T_300,300,0.005,61,1.417311E+11,6.427113E+07,search_3_29_26/T_300/run_011
52,T_300,300,0.005,61,9.142834E+12,2.572777E+07,search_3_29_26/T_300/run_012
53,T_300,300,0.005,61,4.233153E+12,1.323472E+07,search_3_29_26/T_300/run_013
54,T_300,300,0.005,61,3.485664E+12,3.153344E+08,search_3_29_26/T_300/run_014
55,T_300,300,0.005,61,5.161333E+12,8.461294E+08,search_3_29_26/T_300/run_015
56,T_300,300,0.005,61,1.712808E+11,1.486673E+07,search_3_29_26/T_300/run_016
57,T_300,300,0.005,61,8.443494E+12,5.137947E+07,search_3_29_26/T_300/run_017
58,T_300,300,0.005,61,6.974353E+11,7.316816E+06,search_3_29_26/T_300/run_018
59,T_300,300,0.005,61,7.738460E+12,8.409379E+06,search_3_29_26/T_300/run_019
60,T_300,300,0.005,61,3.007062E+11,1.453949E+06,search_3_29_26/T_300/run_020
61,T_300,300,0.005,61,1.303127E+11,8.444472E+07,search_3_29_26/T_300/run_021
62,T_300,300,0.005,61,1.019499E+12,5.816245E+06,search_3_29_26/T_300/run_022
63,T_300,300,0.005,61,6.770583E+12,4.249868E+07,search_3_29_26/T_300/run_023
64,T_300,300,0.005,61,1.305796E+12,6.159119E+07,search_3_29_26/T_300/run_024
65,T_300,300,0.005,61,3.890493E+11,5.616268E+06,search_3_29_26/T_300/run_025
66,T_300,300,0.005,61,7.255273E+11,1.122370E+08,search_3_29_26/T_300/run_026
67,T_300,300,0.005,61,5.817572E+12,1.956344E+07,search_3_29_26/T_300/run_027
68,T_300,300,0.005,61,4.753946E+12,2.149534E+06,search_3_29_26/T_300/run_028
69,T_300,300,0.005,61,1.749888E+12,1.846759E+07,search_3_29_26/T_300/run_029
70,T_300,300,0.005,61,4.135994E+11,1.302170E+06,search_3_29_26/T_300/run_030
71,T_300,300,0.005,61,5.269121E+11,5.219454E+08,search_3_29_26/T_300/run_031
72,T_300,300,0.005,61,1.170211E+12,1.813350E+06,search_3_29_26/T_300/run_032
73,T_300,300,0.005,61,2.099131E+12,1.687344E+08,search_3_29_26/T_300/run_033
74,T_300,300,0.005,61,1.118045E+11,1.959955E+08,search_3_29_26/T_300/run_034
75,T_300,300,0.005,61,3.461551E+11,1.107542E+06,search_3_29_26/T_300/run_035
76,T_300,300,0.005,61,2.276826E+12,3.037068E+07,search_3_29_26/T_300/run_036
77,T_300,300,0.005,61,8.852886E+11,4.507090E+06,search_3_29_26/T_300/run_037
78,T_300,300,0.005,61,9.667636E+11,2.513948E+06,search_3_29_26/T_300/run_038
79,T_300,300,0.005,61,1.180724E+11,9.799584E+06,search_3_29_26/T_300/run_039
80,T_250_high_rho,250,0.025,101,3.641683E+12,3.105161E+06,search_3_29_26/T_250_high_rho/run_000
81,T_250_high_rho,250,0.025,101,2.028010E+11,9.390688E+07,search_3_29_26/T_250_high_rho/run_001
82,T_250_high_rho,250,0.025,101,2.484798E+11,3.363786E+06,search_3_29_26/T_250_high_rho/run_002
83,T_250_high_rho,250,0.025,101,4.591378E+11,7.345903E+08,search_3_29_26/T_250_high_rho/run_003
84,T_250_high_rho,250,0.025,101,2.777118E+12,2.761983E+08,search_3_29_26/T_250_high_rho/run_004
85,T_250_high_rho,250,0.025,101,1.911878E+12,1.274948E+08,search_3_29_26/T_250_high_rho/run_005
86,T_250_high_rho,250,0.025,101,1.852707E+11,3.658414E+08,search_3_29_26/T_250_high_rho/run_006
