Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
2.5304e-05,2.49905e-09,0.999998,79318,155086,1,2,2,999999,398999482
0.166667,0.000926733,0.999046,79242.4,154962,370834,52,38,999974,398618285
0.333334,0.0018449,0.99811,79168.2,154822,738241,56,44,999972,398243949
0.5,0.00278602,0.997182,79094.6,154692,1114832,52,41,999974,397872582
0.666667,0.00372898,0.996218,79018.1,154563,1492159,56,42,999972,397486915
0.833333,0.00466109,0.995291,78944.6,154451,1865144,60,50,999970,397115921
1,0.00561191,0.994345,78869.6,154325,2245618,62,50,999969,396737261
1.16667,0.0065307,0.99344,78797.8,154221,2613273,50,39,999975,396375371
1.33333,0.00746176,0.992508,78723.8,154081,2985837,44,31,999978,396002120
1.5,0.00841976,0.991536,78646.7,153953,3369182,60,43,999970,395613187
1.66667,0.00931352,0.99064,78575.7,153848,3726821,54,44,999973,395254658
1.83333,0.0102475,0.989717,78502.5,153728,4100557,48,35,999976,394885569
2,0.0111518,0.988799,78429.7,153599,4462427,56,37,999972,394518229
2.16667,0.0120997,0.987859,78355.1,153465,4841738,62,45,999969,394141809
2.33333,0.0130268,0.986936,78281.9,153321,5212718,52,41,999974,393772467
2.5,0.0139486,0.986013,78208.7,153194,5581569,62,46,999969,393403460
2.66667,0.0149118,0.985049,78132.3,153055,5966997,66,56,999967,393017719
2.83333,0.0158484,0.984097,78056.8,152903,6341763,60,48,999970,392636756
3,0.0167726,0.983173,77983.4,152788,6711568,62,47,999969,392266796
3.16667,0.0176917,0.982287,77913.1,152660,7079364,52,35,999974,391912120
3.33333,0.0185951,0.981365,77840,152536,7440858,54,43,999973,391543179
3.5,0.0195186,0.980435,77766.2,152410,7810418,56,47,999972,391171026
3.66667,0.0204707,0.979501,77692.2,152290,8191373,48,32,999976,390797416
3.83333,0.0213798,0.978571,77618.4,152150,8555149,66,50,999967,390425512
4,0.0222895,0.977676,77547.4,152014,8919166,54,44,999973,390067077
4.16667,0.0232412,0.976736,77472.9,151876,9300002,48,34,999976,389691072
4.33333,0.0241568,0.975796,77398.3,151739,9666405,60,47,999970,389314988
4.5,0.0250769,0.974869,77324.7,151622,10034583,62,48,999969,388943837
4.66667,0.0259889,0.973981,77254.4,151510,10399514,48,34,999976,388588730
4.83333,0.0269164,0.973051,77180.6,151371,10770638,50,35,999975,388216433
5,0.0278436,0.972109,77105.8,151254,11141670,52,46,999974,387839532
5.16667,0.0287602,0.9712,77033.8,151122,11508451,52,43,999974,387475964
5.33333,0.0296944,0.970269,76959.9,151007,11882282,54,45,999973,387103092
5.5,0.0305973,0.969362,76888,150880,12243586,58,43,999971,386740503
5.66667,0.0315045,0.968444,76815.1,150748,12606570,60,48,999970,386372867
5.83333,0.0324308,0.967512,76741.2,150640,12977230,58,45,999971,385999872
6,0.0333371,0.966622,76670.6,150516,13339913,46,36,999977,385643945
6.16667,0.0342419,0.96571,76598.3,150397,13701978,58,48,999971,385279065
6.33333,0.0351454,0.964806,76526.6,150282,14063491,58,40,999971,384917210
6.5,0.0360669,0.963894,76454.3,150159,14432239,54,41,999973,384552416
6.66667,0.0369905,0.962977,76381.5,150046,14801817,54,36,999973,384185250
6.83333,0.037915,0.962041,76307.3,149908,15171778,54,42,999973,383811005
7,0.0388125,0.961144,76236.1,149800,15530893,62,49,999969,383451697
7.16667,0.0397546,0.960211,76162.1,149671,15907893,58,40,999971,383078443
7.33333,0.0406486,0.959311,76090.7,149565,16265607,60,50,999970,382718255
7.5,0.0415762,0.958383,76017.1,149448,16636808,60,45,999970,382346978
7.66667,0.0424814,0.957481,75945.6,149332,16999001,54,42,999973,381986247
7.83333,0.0433681,0.956577,75873.9,149208,17353825,60,42,999970,381624336
8,0.0442747,0.955684,75803.1,149083,17716624,58,39,999971,381267120
8.16667,0.0451781,0.954785,75731.7,148967,18078103,54,33,999973,380907325
8.33333,0.046084,0.953875,75659.5,148857,18440605,64,49,999968,380543019
8.5,0.0469653,0.952987,75589.1,148715,18793248,54,41,999973,380187802
8.66667,0.0478258,0.952143,75522.2,148589,19137586,50,33,999975,379850278
8.83333,0.0487029,0.951249,75451.3,148447,19488569,60,47,999970,379492555
9,0.0495904,0.950377,75382.1,148331,19843698,50,36,999975,379143398
9.16667,0.0505006,0.949448,75308.4,148220,20207921,56,45,999972,378771564
9.33333,0.0513869,0.948578,75239.4,148092,20562549,52,36,999974,378423483
9.5,0.0522761,0.947671,75167.5,147968,20918399,62,51,999969,378060708
9.66667,0.0531646,0.94681,75099.2,147851,21273916,44,33,999978,377716289
9.83333,0.0540741,0.945883,75025.7,147741,21637839,56,49,999972,377345203
10,0.0549528,0.945017,74957,147623,21989479,50,41,999975,376998677
10.1667,0.0558413,0.944105,74884.6,147477,22344996,62,52,999969,376633588
10.3333,0.0567609,0.943207,74813.4,147350,22712975,44,33,999978,376274429
10.5,0.0576653,0.942301,74741.6,147236,23074872,58,42,999971,375911929
10.6667,0.0585435,0.941415,74671.2,147127,23426312,64,52,999968,375557122
10.8333,0.0594443,0.940513,74599.7,147015,23786741,58,50,999971,375196182
11,0.0602975,0.939678,74533.5,146925,24128169,50,41,999975,374862134
11.1667,0.0611886,0.938775,74461.9,146785,24484728,58,42,999971,374500934
11.3333,0.0620624,0.937905,74392.9,146682,24834369,52,45,999974,374152946
11.5,0.0629456,0.937029,74323.4,146574,25187818,48,32,999976,373802197
11.6667,0.063844,0.936123,74251.5,146450,25547290,54,39,999973,373439662
