Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
1.62093e-05,0,0.999997,59495.9,116399,0,4,4,999998,298999108
0.166667,0.000881538,0.999095,59442.2,116310,264595,38,25,999981,298728234
0.333334,0.00176581,0.998203,59389.1,116216,530010,52,36,999974,298460563
0.500002,0.00263181,0.997353,59338.6,116133,789942,34,25,999983,298205319
0.666667,0.00346918,0.996502,59288,116050,1041279,46,30,999977,297950136
0.833333,0.00431463,0.995662,59238,115961,1295044,38,29,999981,297697784
1,0.0051695,0.994806,59187.1,115875,1551635,44,29,999978,297441119
1.16667,0.00603037,0.993943,59135.7,115797,1810025,40,30,999980,297181975
1.33333,0.00690679,0.993046,59082.4,115707,2073084,52,42,999974,296912821
1.5,0.00783198,0.992121,59027.3,115606,2350781,46,34,999977,296634925
1.66667,0.00866044,0.991308,58978.9,115518,2599447,44,34,999978,296391056
1.83333,0.00953233,0.990433,58926.9,115436,2861145,54,46,999973,296128469
2,0.0103959,0.989571,58875.6,115345,3120355,46,34,999977,295869751
2.16667,0.0112291,0.988732,58825.6,115256,3370421,46,38,999977,295617739
2.33333,0.0120701,0.987906,58776.5,115167,3622850,32,20,999984,295369883
2.5,0.0129495,0.987026,58724.2,115085,3886802,34,26,999983,295105926
2.66667,0.0137851,0.986191,58674.5,115007,4137620,46,32,999977,294855283
2.83333,0.0146517,0.985325,58623,114927,4397744,44,30,999978,294595187
3,0.0155204,0.984451,58570.9,114837,4658473,40,34,999980,294332815
3.16667,0.0163597,0.983619,58521.5,114757,4910382,50,35,999975,294083204
3.33333,0.0172358,0.982734,58468.8,114664,5173362,46,25,999977,293817686
3.5,0.0180905,0.981881,58418,114584,5429885,42,30,999979,293561444
3.66667,0.0189455,0.981013,58366.4,114501,5686517,58,43,999971,293300893
3.83333,0.0198284,0.980151,58315.1,114407,5951534,38,24,999981,293042201
4,0.0206681,0.979307,58264.9,114327,6203566,44,32,999978,292788910
4.16667,0.0215097,0.978445,58213.6,114244,6456158,46,37,999977,292530260
4.33333,0.0223653,0.977605,58163.7,114149,6712993,42,30,999979,292278157
4.5,0.0232179,0.976746,58112.5,114049,6968901,50,36,999975,292020248
4.66667,0.0240354,0.975943,58064.8,113978,7214259,38,29,999981,291779219
4.83333,0.0249132,0.975053,58011.8,113892,7477732,48,33,999976,291511983
5,0.0257577,0.974213,57961.8,113812,7731231,48,35,999976,291259855
5.16667,0.0266438,0.973331,57909.4,113717,7997186,44,31,999978,290995188
5.33333,0.0274859,0.972491,57859.4,113644,8249953,42,31,999979,290743167
5.5,0.0283028,0.971673,57810.7,113571,8495145,42,29,999979,290497416
5.66667,0.0291751,0.970796,57758.6,113477,8756960,42,29,999979,290234404
5.83333,0.0300481,0.969925,57706.7,113392,9018991,40,27,999980,289972748
6,0.030865,0.969107,57658.1,113311,9264188,40,30,999980,289727464
6.16667,0.0317053,0.968242,57606.6,113227,9516407,50,42,999975,289467608
6.33333,0.0325805,0.967396,57556.3,113151,9779079,44,32,999978,289213851
6.5,0.0334062,0.96656,57506.5,113069,10026921,48,37,999976,288962838
6.66667,0.0342664,0.965702,57455.4,112991,10285116,50,33,999975,288705251
6.83333,0.0350861,0.964872,57406.1,112904,10531158,42,31,999979,288456288
7,0.0359391,0.964028,57355.9,112825,10787171,48,38,999976,288202894
7.16667,0.0367719,0.963217,57307.6,112752,11037150,30,16,999985,287959426
7.33333,0.0376049,0.962378,57257.7,112659,11287168,38,23,999981,287707515
7.5,0.0384564,0.96152,57206.7,112566,11542760,34,25,999983,287450083
7.66667,0.0393195,0.96066,57155.5,112480,11801803,36,25,999982,287191902
7.83333,0.0401542,0.959828,57106,112393,12052351,22,16,999989,286942287
8,0.0410238,0.958958,57054.2,112303,12313355,38,25,999981,286681155
8.16667,0.0418221,0.958157,57006.6,112231,12552986,36,25,999982,286440721
8.33333,0.0426441,0.957323,56957,112149,12799697,44,33,999978,286190382
