Time (min),Monomer Conversion,Polymer Wt Fraction,Mn (g/mol),Mw (g/mol),# Monomers,# Radical Chains RR,# Radical Chains BS,# Intact Chains,# Bonds
7.01841e-06,4.9981e-10,1,79318,155247,1,2,2,4999999,1994998760
0.166667,0.000930917,0.99902,79240.3,155123,1862539,312,239,4999844,1993038658
0.333333,0.00186934,0.998088,79166.4,154995,3740106,278,212,4999861,1991173782
0.5,0.00280512,0.997154,79092.4,154870,5612373,278,222,4999861,1989306509
0.666667,0.00375465,0.996204,79017,154742,7512149,270,210,4999865,1987404681
0.833333,0.00468705,0.995261,78942.2,154611,9377654,308,252,4999846,1985518055
1,0.00562572,0.994325,78867.9,154482,11255709,322,264,4999839,1983645366
1.16667,0.00656948,0.993382,78793.2,154353,13143934,284,230,4999858,1981759257
1.33333,0.00750986,0.992448,78719.1,154225,15025417,290,222,4999855,1979890575
1.5,0.00843521,0.991522,78645.6,154098,16876826,280,207,4999860,1978037363
1.66667,0.00935964,0.990596,78572.2,153971,18726378,272,220,4999864,1976185454
1.83333,0.0103025,0.989661,78498,153834,20612827,288,220,4999856,1974314080
2,0.0112351,0.988718,78423.2,153705,22478767,280,213,4999860,1972427342
2.16667,0.0121727,0.987777,78348.6,153573,24354696,304,236,4999848,1970544835
2.33333,0.0130999,0.98685,78275,153450,26209671,308,249,4999846,1968689248
2.5,0.0140369,0.985914,78200.8,153323,28084372,310,243,4999845,1966817788
2.66667,0.014971,0.984988,78127.3,153205,29953384,286,218,4999857,1964963871
2.83333,0.0159142,0.98404,78052.1,153080,31840415,292,229,4999854,1963067588
3,0.0168471,0.983106,77978.1,152958,33706980,296,233,4999852,1961199265
3.16667,0.0177823,0.982172,77903.9,152828,35578097,302,234,4999849,1959329449
3.33333,0.018718,0.981233,77829.5,152694,37450234,330,254,4999835,1957450833
3.5,0.0196389,0.98032,77757.1,152577,39292693,292,230,4999854,1955624025
3.66667,0.0205831,0.97937,77681.7,152454,41181766,310,239,4999845,1953723298
3.83333,0.0215142,0.978439,77607.9,152319,43044670,302,233,4999849,1951861906
4,0.0224345,0.977525,77535.4,152202,44885914,294,216,4999853,1950032548
4.16667,0.0233692,0.976591,77461.3,152075,46756111,292,217,4999854,1948163379
4.33333,0.0242987,0.97566,77387.4,151953,48615799,294,221,4999853,1946300780
4.5,0.0252306,0.974727,77313.5,151822,50480317,292,214,4999854,1944435345
4.66667,0.0261519,0.973811,77240.8,151702,52323672,304,226,4999848,1942601523
4.83333,0.0270723,0.972888,77167.6,151575,54165175,280,214,4999860,1940755332
5,0.0280081,0.971954,77093.5,151450,56037416,304,226,4999848,1938886475
5.16667,0.0289264,0.971024,77019.8,151328,57874680,306,243,4999847,1937026174
5.33333,0.0298503,0.970104,76946.8,151188,59723292,294,236,4999853,1935184606
5.5,0.0307762,0.969179,76873.4,151062,61575774,284,226,4999858,1933334280
5.66667,0.0317049,0.968257,76800.3,150941,63433818,270,205,4999865,1931489571
5.83333,0.0326326,0.967328,76726.6,150820,65289949,268,199,4999866,1929631727
6,0.033552,0.96641,76653.8,150697,67129360,292,219,4999854,1927794055
6.16667,0.0344706,0.965486,76580.5,150573,68967405,278,213,4999861,1925946038
6.33333,0.0353965,0.96456,76507.1,150451,70819862,272,218,4999864,1924093578
6.5,0.0363053,0.963653,76435.1,150324,72638040,280,215,4999860,1922277778
6.66667,0.0372108,0.96275,76363.4,150202,74449795,272,205,4999864,1920470856
6.83333,0.0381332,0.961825,76290.1,150078,76295383,268,211,4999866,1918619946
7,0.0390524,0.960911,76217.6,149952,78134318,312,233,4999844,1916791119
7.16667,0.0399529,0.960003,76145.6,149829,79936055,290,219,4999855,1914974979
7.33333,0.040873,0.959085,76072.7,149708,81776956,284,227,4999858,1913137841
7.5,0.0417826,0.958175,76000.6,149579,83596903,292,217,4999854,1911317174
7.66667,0.0426921,0.957266,75928.5,149462,85416524,284,224,4999858,1909498974
7.83333,0.0436097,0.956351,75855.9,149338,87252533,304,222,4999848,1907668359
8,0.0445076,0.955458,75785,149211,89048881,272,201,4999864,1905881236
8.16667,0.0454236,0.954537,75712,149090,90881553,300,234,4999850,1904038407
8.33333,0.0463245,0.953637,75640.6,148973,92684142,298,222,4999851,1902238150
8.5,0.0472324,0.952725,75568.3,148852,94500690,296,228,4999852,1900414157
8.66667,0.0481322,0.951825,75496.9,148724,96300811,276,216,4999862,1898612253
8.83333,0.0490459,0.950911,75424.5,148591,98128901,296,235,4999852,1896785434
9,0.0499358,0.950028,75354.4,148475,99909408,268,208,4999866,1895018307
9.16667,0.0508366,0.949107,75281.3,148362,101711750,346,274,4999827,1893175457
9.33333,0.0517418,0.948212,75210.3,148243,103522776,304,239,4999848,1891384200
9.5,0.0526472,0.947306,75138.5,148118,105334282,282,216,4999859,1889572312
9.66667,0.0535443,0.946413,75067.6,148003,107129202,290,225,4999855,1887784142
9.83333,0.0544479,0.945516,74996.5,147877,108937063,274,203,4999863,1885990175
10,0.0553583,0.944594,74923.4,147747,110758670,314,243,4999843,1884145945
10.1667,0.0562683,0.943686,74851.3,147627,112579206,314,226,4999843,1882328700
10.3333,0.0571655,0.942794,74780.6,147509,114374319,274,218,4999863,1880545053
10.5,0.0580616,0.941898,74709.5,147388,116167166,288,217,4999856,1878750756
10.6667,0.0589537,0.941009,74639,147275,117952077,268,200,4999866,1876973328
10.8333,0.059852,0.940111,74567.7,147162,119749337,270,202,4999865,1875175428
11,0.0607515,0.939207,74496.1,147037,121549041,268,204,4999866,1873368516
11.1667,0.061669,0.938281,74422.6,146908,123384800,300,233,4999850,1871515244
11.3333,0.062564,0.937389,74351.9,146781,125175420,306,240,4999847,1869730852
11.5,0.063461,0.936495,74281,146658,126970043,290,232,4999855,1867942379
11.6667,0.0643657,0.935587,74208.9,146532,128780232,300,227,4999850,1866124313
11.8333,0.0652486,0.934711,74139.4,146413,130546746,268,206,4999866,1864371470
12,0.066138,0.933825,74069.2,146289,132326156,274,200,4999863,1862599866
12.1667,0.0670358,0.932915,73997,146169,134122471,342,262,4999829,1860779043
12.3333,0.0679131,0.932049,73928.3,146052,135877711,262,207,4999869,1859045214
12.5,0.0688002,0.931159,73857.7,145932,137652646,282,208,4999859,1857264976
12.6667,0.0696925,0.93027,73787.2,145813,139437888,272,205,4999864,1855486500
12.8333,0.0705926,0.929377,73716.4,145689,141238744,266,195,4999867,1853700303
13,0.0714875,0.92847,73644.5,145569,143029287,274,204,4999863,1851885718
13.1667,0.0723725,0.927591,73574.7,145446,144799918,254,189,4999873,1850126463
13.3333,0.0732557,0.926699,73503.9,145323,146566882,310,239,4999845,1848341267
13.5,0.0741245,0.92584,73435.8,145205,148305282,274,198,4999863,1846622822
13.6667,0.0750088,0.924957,73365.8,145081,150074489,252,191,4999874,1844857401
13.8333,0.0759045,0.924061,73294.7,144961,151866488,262,196,4999869,1843064318
14,0.0767998,0.923164,73223.6,144840,153657780,290,208,4999855,1841270266
14.1667,0.0776826,0.922282,73153.6,144723,155424145,264,201,4999868,1839504054
14.3333,0.0785606,0.921398,73083.5,144600,157180741,280,205,4999860,1837735771
14.5,0.0794285,0.920528,73014.5,144484,158917291,274,213,4999863,1835996220
14.6667,0.0803175,0.919645,72944.4,144358,160695846,256,195,4999872,1834227986
14.8333,0.081194,0.918765,72874.7,144243,162449538,284,229,4999858,1832468061
