time:1	Mass_Fract_1:2	Poly_Mass_Density_1:3	Monomer_Mass_Density_1:4	Monomer_MW_1:5	Mn_total_1:6	Mw_total_1:7	Mn_poly_1:8	Mw_poly_1:9	PDI_poly_1:10	Xn_poly_1:11	Xw_poly_1:12	F1_in_1:13	diff_power:14	fiss_power:15	beta_power:16	chaint_power:17	F_Diff_Limit_1:18	F_PS_Diff_Limit_1:19	F_Fiss_Limit_1:20	F_PS_Fiss_Limit_1:21	F_Chaint_Limit_1:22	F_Chaint_LMWR_1:23	bA:24	bB:25	Lower_Limit:26	Temperature:27	alpha_bs:28	alpha_ra:29	LMWP_see_Polymer1:30	LMWP_bi_react:31	Mass_Change:32	Mass_Left_1:33	Vol_Factor:34	Mass_Total_1:35	bond_pp:36	num_bonds_1_pp:37	total_bonds_1:38	netrate_BF:39	netrate_R:40	netrate_BS:41	d0:42	Rhat:43	ZL:44	kI:45	kT:46	kD:47	F_chainf_D_1l_pp_pp:48	F_recomb_actual_same_epep:49	chainf_except_D_1l_pp:50	chainf_real_except_D_1l_pp:51	F_end_beta_Rep_1l_pp_ppp:52	DONTUSE:53	DONTUSE_D_1s2pp:54	num_end_H_p:55	arctan_power:56	arctan_factor:57	pie:58	random1:59	random2:60	D_1l_pp0:61	D_1l_pp1:62	D_1l_pp2:63	D_1l_pp3:64	F_D_1l_pp:65	Xn_D_1l_pp:66	bondst_D_1l_pp:67	bondst_lmwr_D_1l_pp:68	bondst_bs_D_1l_pp:69	bondwk_ra_D_1l_pp:70	Rep_1l_pp0:71	Rep_1l_pp1:72	Rep_1l_pp2:73	Rep_1l_pp0B:74	Rep_1l_pp1B:75	Xn_Rep_1l_pp:76	bondst_bs_Rep_1l_pp:77	bondwk_ra_Rep_1l_pp:78	D_1s2pp:79	D_1s2pp_MY:80	F_D_1s2pp:81	so_D_1s2pp:82	SP:83	SP_MY:84	F_SP:85	so_SP:86	Dt1_0:87	Dt1_1:88	Dt1_2:89	Dt0:90	Dt1:91	Dt2:92	Dp1_0:93	Dp1_1:94	Dp1_2:95	Ds1_0:96	Ds1_1:97	Ds1_2:98	Ds0:99	Ds1:100	Ds2:101	R1_0:102	R1_1:103	Xn_R1:104	Re1_0:105	Re1_1:106	Xn_Re1:107	Rs1_0:108	Rs1_1:109	Xn_Rs1:110	Polymer_Yield:111	LMWP_Yield:112	
0.000000e+00	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	7.928800e+05	1.554045e+06	7.928800e+05	1.554045e+06	1.960000e+00	4.000000e+03	7.840001e+03	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	8.000000e-01	8.000000e-01	1.000000e+00	1.000000e+00	1.000000e-01	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.522450e-02	0.000000e+00	2.522450e-02	5.043638e-02	1.000000e+00	5.043638e-02	1.000000e-10	1.000000e-10	1.000000e-10	1.000000e+00	1.000000e-10	1.000000e+00	1.000000e-10	1.000000e+09	5.000000e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.306125e-06	2.522450e-02	1.977601e+02	2.309838e+06	1.000000e+00	1.000000e+01	9.000000e-01	9.000000e-01	9.000000e-01	1.100000e+00	1.000000e-20	1.000000e-19	1.000000e-18	1.000000e+00	1.000000e+01	1.000000e+01	9.000000e-01	1.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	6.306125e-06	2.522450e-02	1.977601e+02	6.306125e-06	2.522450e-02	1.977601e+02	6.306125e-06	2.522450e-02	1.977601e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e-20	1.000000e-19	1.000000e+01	1.000000e-20	1.000000e-19	1.000000e+01	1.000000e-20	1.000000e-19	1.000000e+00	1.000000e+00	0.000000e+00	5.331500e+02	
1.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	1.351915e+05	1.550159e+06	7.917058e+05	1.552046e+06	1.960382e+00	3.994076e+03	7.829915e+03	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.629809e-04	5.001315e-01	1.000000e+00	1.000000e+00	2.629809e-04	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.517973e-02	0.000000e+00	2.521039e-02	5.043638e-02	1.000000e+00	5.043638e-02	1.375623e-08	1.375634e-08	3.093912e-06	4.991127e+00	3.708939e-09	2.249090e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.304270e-06	2.517973e-02	1.971552e+02	2.299964e+06	1.000000e+00	3.994076e+03	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.708955e-09	1.410351e-05	1.097590e-01	3.708955e+11	1.410351e+15	3.802558e+03	1.000000e+00	1.000000e+00	3.065963e-05	1.216150e-03	1.216150e-03	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	3.696390e-05	2.521039e-02	1.971552e+02	3.696390e-05	2.521039e-02	1.971552e+02	6.304270e-06	2.517973e-02	1.971552e+02	3.065963e-05	3.065963e-05	3.065963e-05	3.065963e-05	3.065963e-05	3.065963e-05	3.708955e-09	1.410351e-05	3.802558e+03	3.708955e-09	1.410351e-05	3.802558e+03	0.000000e+00	0.000000e+00	1.000000e+00	9.987838e-01	1.216150e-03	5.331500e+02	
2.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	7.360362e+04	1.546659e+06	7.907339e+05	1.550446e+06	1.960768e+00	3.989173e+03	7.821844e+03	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.632651e-04	5.001316e-01	1.000000e+00	1.000000e+00	2.632651e-04	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.514883e-02	0.000000e+00	2.521042e-02	5.043638e-02	1.000000e+00	5.043638e-02	1.373935e-08	1.373946e-08	3.092013e-06	4.985001e+00	3.706662e-09	2.250471e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.304271e-06	2.514883e-02	1.967102e+02	2.292562e+06	1.000000e+00	3.989173e+03	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.706678e-09	1.407964e-05	1.094681e-01	3.706678e+11	1.407964e+15	3.798453e+03	1.000000e+00	1.000000e+00	6.158926e-05	2.443008e-03	2.443008e-03	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	6.789353e-05	2.521042e-02	1.967103e+02	6.789353e-05	2.521042e-02	1.967103e+02	6.304271e-06	2.514883e-02	1.967102e+02	6.158926e-05	6.158926e-05	6.158926e-05	6.158926e-05	6.158926e-05	6.158926e-05	3.706678e-09	1.407964e-05	3.798453e+03	3.706678e-09	1.407964e-05	3.798453e+03	0.000000e+00	0.000000e+00	1.000000e+00	9.975570e-01	2.443008e-03	5.331500e+02	
3.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	5.057696e+04	1.543162e+06	7.897626e+05	1.548844e+06	1.961152e+00	3.984273e+03	7.813763e+03	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.635502e-04	5.001318e-01	1.000000e+00	1.000000e+00	2.635502e-04	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.511794e-02	0.000000e+00	2.521044e-02	5.043638e-02	1.000000e+00	5.043638e-02	1.372247e-08	1.372259e-08	3.090114e-06	4.978879e+00	3.704386e-09	2.251855e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.304272e-06	2.511794e-02	1.962657e+02	2.285171e+06	1.000000e+00	3.984273e+03	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.704401e-09	1.405577e-05	1.091774e-01	3.704401e+11	1.405577e+15	3.794344e+03	1.000000e+00	1.000000e+00	9.249989e-05	3.669110e-03	3.669110e-03	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	9.880416e-05	2.521044e-02	1.962657e+02	9.880416e-05	2.521044e-02	1.962657e+02	6.304272e-06	2.511794e-02	1.962657e+02	9.249989e-05	9.249989e-05	9.249989e-05	9.249989e-05	9.249989e-05	9.249989e-05	3.704401e-09	1.405577e-05	3.794344e+03	3.704401e-09	1.405577e-05	3.794344e+03	0.000000e+00	0.000000e+00	1.000000e+00	9.963309e-01	3.669110e-03	5.331500e+02	
4.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	3.853030e+04	1.539669e+06	7.887919e+05	1.547241e+06	1.961532e+00	3.979376e+03	7.805674e+03	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.638362e-04	5.001319e-01	1.000000e+00	1.000000e+00	2.638362e-04	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.508707e-02	0.000000e+00	2.521047e-02	5.043638e-02	1.000000e+00	5.043638e-02	1.370561e-08	1.370572e-08	3.088215e-06	4.972760e+00	3.702109e-09	2.253239e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.304273e-06	2.508707e-02	1.958215e+02	2.277790e+06	1.000000e+00	3.979376e+03	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.702124e-09	1.403190e-05	1.088869e-01	3.702124e+11	1.403190e+15	3.790230e+03	1.000000e+00	1.000000e+00	1.233915e-04	4.894457e-03	4.894457e-03	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	1.296958e-04	2.521047e-02	1.958216e+02	1.296958e-04	2.521047e-02	1.958216e+02	6.304273e-06	2.508707e-02	1.958215e+02	1.233915e-04	1.233915e-04	1.233915e-04	1.233915e-04	1.233915e-04	1.233915e-04	3.702124e-09	1.403190e-05	3.790230e+03	3.702124e-09	1.403190e-05	3.790230e+03	0.000000e+00	0.000000e+00	1.000000e+00	9.951055e-01	4.894457e-03	5.331500e+02	
5.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	3.112207e+04	1.536179e+06	7.878218e+05	1.545636e+06	1.961910e+00	3.974482e+03	7.797576e+03	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.641232e-04	5.001321e-01	1.000000e+00	1.000000e+00	2.641232e-04	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.505623e-02	0.000000e+00	2.521049e-02	5.043638e-02	1.000000e+00	5.043638e-02	1.368875e-08	1.368887e-08	3.086315e-06	4.966645e+00	3.699832e-09	2.254626e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.304275e-06	2.505623e-02	1.953778e+02	2.270421e+06	1.000000e+00	3.974482e+03	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.699847e-09	1.400804e-05	1.085966e-01	3.699847e+11	1.400804e+15	3.786112e+03	1.000000e+00	1.000000e+00	1.542642e-04	6.119047e-03	6.119047e-03	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	1.605685e-04	2.521049e-02	1.953780e+02	1.605685e-04	2.521049e-02	1.953780e+02	6.304275e-06	2.505623e-02	1.953778e+02	1.542642e-04	1.542642e-04	1.542642e-04	1.542642e-04	1.542642e-04	1.542642e-04	3.699847e-09	1.400804e-05	3.786112e+03	3.699847e-09	1.400804e-05	3.786112e+03	0.000000e+00	0.000000e+00	1.000000e+00	9.938810e-01	6.119047e-03	5.331500e+02	
6.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	2.610580e+04	1.532692e+06	7.868523e+05	1.544029e+06	1.962285e+00	3.969591e+03	7.789470e+03	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.644111e-04	5.001322e-01	1.000000e+00	1.000000e+00	2.644111e-04	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.502540e-02	0.000000e+00	2.521051e-02	5.043638e-02	1.000000e+00	5.043638e-02	1.367191e-08	1.367203e-08	3.084416e-06	4.960534e+00	3.697555e-09	2.256014e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.304276e-06	2.502540e-02	1.949346e+02	2.263063e+06	1.000000e+00	3.969591e+03	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.697570e-09	1.398417e-05	1.083065e-01	3.697570e+11	1.398417e+15	3.781989e+03	1.000000e+00	1.000000e+00	1.851178e-04	7.342882e-03	7.342882e-03	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	1.914221e-04	2.521051e-02	1.949347e+02	1.914221e-04	2.521051e-02	1.949347e+02	6.304276e-06	2.502540e-02	1.949346e+02	1.851178e-04	1.851178e-04	1.851178e-04	1.851178e-04	1.851178e-04	1.851178e-04	3.697570e-09	1.398417e-05	3.781989e+03	3.697570e-09	1.398417e-05	3.781989e+03	0.000000e+00	0.000000e+00	1.000000e+00	9.926571e-01	7.342882e-03	5.331500e+02	
7.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	2.248405e+04	1.529210e+06	7.858834e+05	1.542420e+06	1.962658e+00	3.964703e+03	7.781355e+03	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.646999e-04	5.001323e-01	1.000000e+00	1.000000e+00	2.646999e-04	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.499459e-02	0.000000e+00	2.521054e-02	5.043638e-02	1.000000e+00	5.043638e-02	1.365508e-08	1.365519e-08	3.082517e-06	4.954427e+00	3.695278e-09	2.257405e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.304277e-06	2.499459e-02	1.944917e+02	2.255716e+06	1.000000e+00	3.964703e+03	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.695293e-09	1.396031e-05	1.080165e-01	3.695293e+11	1.396031e+15	3.777863e+03	1.000000e+00	1.000000e+00	2.159525e-04	8.565962e-03	8.565962e-03	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	2.222568e-04	2.521054e-02	1.944920e+02	2.222568e-04	2.521054e-02	1.944920e+02	6.304277e-06	2.499459e-02	1.944917e+02	2.159525e-04	2.159525e-04	2.159525e-04	2.159525e-04	2.159525e-04	2.159525e-04	3.695293e-09	1.396031e-05	3.777863e+03	3.695293e-09	1.396031e-05	3.777863e+03	0.000000e+00	0.000000e+00	1.000000e+00	9.914340e-01	8.565962e-03	5.331500e+02	
8.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	1.974627e+04	1.525730e+06	7.849151e+05	1.540810e+06	1.963028e+00	3.959818e+03	7.773232e+03	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.649897e-04	5.001325e-01	1.000000e+00	1.000000e+00	2.649897e-04	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.496379e-02	0.000000e+00	2.521056e-02	5.043638e-02	1.000000e+00	5.043638e-02	1.363826e-08	1.363837e-08	3.080617e-06	4.948323e+00	3.693001e-09	2.258796e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.304278e-06	2.496379e-02	1.940494e+02	2.248381e+06	1.000000e+00	3.959818e+03	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.693017e-09	1.393645e-05	1.077268e-01	3.693017e+11	1.393645e+15	3.773732e+03	1.000000e+00	1.000000e+00	2.467682e-04	9.788285e-03	9.788285e-03	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	2.530725e-04	2.521056e-02	1.940496e+02	2.530725e-04	2.521056e-02	1.940496e+02	6.304278e-06	2.496379e-02	1.940494e+02	2.467682e-04	2.467682e-04	2.467682e-04	2.467682e-04	2.467682e-04	2.467682e-04	3.693017e-09	1.393645e-05	3.773732e+03	3.693017e-09	1.393645e-05	3.773732e+03	0.000000e+00	0.000000e+00	1.000000e+00	9.902117e-01	9.788285e-03	5.331500e+02	
9.000000e+01	1.000000e+00	5.000000e+00	5.000000e+00	1.982200e+02	1.760404e+04	1.522254e+06	7.839474e+05	1.539198e+06	1.963395e+00	3.954936e+03	7.765101e+03	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.652804e-04	5.001326e-01	1.000000e+00	1.000000e+00	2.652804e-04	5.000000e-01	0.000000e+00	2.000000e+00	2.000000e+00	5.331500e+02	7.600000e-01	2.400000e-01	0.000000e+00	3.322259e-03	0.000000e+00	2.493302e-02	0.000000e+00	2.521059e-02	5.043638e-02	1.000000e+00	5.043638e-02	1.362145e-08	1.362156e-08	3.078718e-06	4.942223e+00	3.690724e-09	2.260190e+02	5.463215e-07	1.000000e+09	8.341737e+02	1.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	1.000000e+02	3.141593e+00	5.000000e-01	3.333333e-01	6.304279e-06	2.493302e-02	1.936074e+02	2.241057e+06	1.000000e+00	3.954936e+03	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	3.690740e-09	1.391260e-05	1.074373e-01	3.690740e+11	1.391260e+15	3.769597e+03	1.000000e+00	1.000000e+00	2.775648e-04	1.100985e-02	1.100985e-02	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	2.838691e-04	2.521059e-02	1.936077e+02	2.838691e-04	2.521059e-02	1.936077e+02	6.304279e-06	2.493302e-02	1.936074e+02	2.775648e-04	2.775648e-04	2.775648e-04	2.775648e-04	2.775648e-04	2.775648e-04	3.690740e-09	1.391260e-05	3.769597e+03	3.690740e-09	1.391260e-05	3.769597e+03	0.000000e+00	0.000000e+00	1.000000e+00	9.889901e-01	1.100985e-02	5.331500e+02	
