kmc_run_dir,run_dir,dpn_dir,zip_path,zip_rel_path,t_start,zip_analytical,method_1_qty,method_1_window,method_2_qty,method_2_window,method_3_qty,method_3_window,method_4_qty,method_4_window,sampling_rate
kmc_runs_v2_1.1,run_0,DPN_100,kmc_runs_v2_1.1/run_0/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_0/DPN_100/zip_length.csv,0.00539874,39558.27,119.26315789473684,19,128.25,12,108.42213819181849,8727,113.74647887323944,71,242.42464806503477
kmc_runs_v2_1.1,run_0,DPN_1000,kmc_runs_v2_1.1/run_0/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_0/DPN_1000/zip_length.csv,0.00271574,39621.68,1170.016501650165,303,3643.714285714286,7,1084.2777829442946,10753,1150.1534653465346,404,149.34547663394713
kmc_runs_v2_1.1,run_0,DPN_2000,kmc_runs_v2_1.1/run_0/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_0/DPN_2000/zip_length.csv,0.00181658,39625.17,2344.8350877192984,570,2356.19341563786,486,2151.4838530066813,3592,2729.313829787234,188,9721.933375275537
kmc_runs_v2_1.1,run_0,DPN_4000,kmc_runs_v2_1.1/run_0/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_0/DPN_4000/zip_length.csv,0.000901904,39626.93,4455.665158371041,1105,4573.441834451902,894,4141.465901981231,4795,4964.869140625,512,17875.361502100382
kmc_runs_v2_1.1,run_0,DPN_500,kmc_runs_v2_1.1/run_0/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_0/DPN_500/zip_length.csv,0.00218111,39614.58,605.6862745098039,153,1082.7142857142858,7,545.3082088140723,10574,606.2460732984293,191,146.8635254243049
kmc_runs_v2_1.1,run_1,DPN_100,kmc_runs_v2_1.1/run_1/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_1/DPN_100/zip_length.csv,0.000861097,59658.69,111.79081350304372,1807,265.1818181818182,33,108.1220514123576,23613,172.54444444444445,90,655.9275344701603
kmc_runs_v2_1.1,run_1,DPN_1000,kmc_runs_v2_1.1/run_1/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_1/DPN_1000/zip_length.csv,0.000228806,59819.57,1121.018096115295,18457,13461.653846153846,26,1102.968618802147,37634,2440.632603406326,411,522.7000166106806
kmc_runs_v2_1.1,run_1,DPN_2000,kmc_runs_v2_1.1/run_1/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_1/DPN_2000/zip_length.csv,0.000288911,59828.52,2209.9227806662816,36351,39448.192307692305,26,2208.9643999259984,37837,4935.172151898734,790,525.5109933091537
kmc_runs_v2_1.1,run_1,DPN_4000,kmc_runs_v2_1.1/run_1/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_1/DPN_4000/zip_length.csv,8.40433e-05,59832.99,4298.189432934871,70521,4298.189432934871,71344,14676.503546099291,705,12264.149948293692,967,1426875.9693531704
kmc_runs_v2_1.1,run_1,DPN_500,kmc_runs_v2_1.1/run_1/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_1/DPN_500/zip_length.csv,0.00056492,59801.69,560.891063555221,9299,3629.769230769231,26,548.694883621724,37507,953.1794117647058,340,520.9326797618457
kmc_runs_v2_1.1,run_10,DPN_100,kmc_runs_v2_1.1/run_10/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_10/DPN_100/zip_length.csv,0.00322037,18669.89,112.54901960784314,51,130.78571428571428,14,107.36966156325543,9928,113.53164556962025,79,275.7754571815502
kmc_runs_v2_1.1,run_10,DPN_1000,kmc_runs_v2_1.1/run_10/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_10/DPN_1000/zip_length.csv,0.00101699,18703.14,1151.786274509804,510,5996.125,8,1055.0296121593292,11448,1503.5114503816794,131,158.99706686996896
kmc_runs_v2_1.1,run_10,DPN_2000,kmc_runs_v2_1.1/run_10/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_10/DPN_2000/zip_length.csv,0.000462039,18704.97,2208.644565217391,920,14171.625,8,2022.8887605215382,12118,2244.6206896551726,667,168.31447584314972
kmc_runs_v2_1.1,run_10,DPN_4000,kmc_runs_v2_1.1/run_10/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_10/DPN_4000/zip_length.csv,0.000757906,18705.9,4162.424962102072,1979,4282.308510638298,1410,3856.679190308235,6521,5452.527918781726,394,28201.96501288811
kmc_runs_v2_1.1,run_10,DPN_500,kmc_runs_v2_1.1/run_10/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_10/DPN_500/zip_length.csv,0.00190853,18699.41,577.212543554007,287,1730.625,8,538.1624740780813,11091,590.6333333333333,240,154.03517971955023
kmc_runs_v2_1.1,run_100,DPN_100,kmc_runs_v2_1.1/run_100/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_100/DPN_100/zip_length.csv,0.0165804,262653.73,166.46153846153845,26,253.75,12,108.71191384339242,8914,145.51020408163265,49,247.60375930059715
kmc_runs_v2_1.1,run_100,DPN_1000,kmc_runs_v2_1.1/run_100/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_100/DPN_1000/zip_length.csv,0.00465216,262977.36,1722.605504587156,218,14151.285714285714,7,1107.2367494528498,10509,1480.0906862745098,408,145.95838626422957
kmc_runs_v2_1.1,run_100,DPN_2000,kmc_runs_v2_1.1/run_100/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_100/DPN_2000/zip_length.csv,0.00454303,262995.31,3726.0047961630694,417,29225.714285714286,7,2237.135894766727,10567,3689.469933184855,449,146.7683361722484
kmc_runs_v2_1.1,run_100,DPN_4000,kmc_runs_v2_1.1/run_100/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_100/DPN_4000/zip_length.csv,0.00235075,263004.29,7622.2909319899245,794,93561.0,7,4593.790198650675,10672,9774.057522123894,452,148.2239105225641
kmc_runs_v2_1.1,run_100,DPN_500,kmc_runs_v2_1.1/run_100/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_100/DPN_500/zip_length.csv,0.00130651,262941.48,986.009900990099,101,3363.4285714285716,7,549.7573269689738,10475,748.8388625592418,211,145.48468590913723
kmc_runs_v2_1.1,run_101,DPN_100,kmc_runs_v2_1.1/run_101/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_101/DPN_100/zip_length.csv,0.000910183,108379.97,117.06153846153846,1885,477.20588235294116,34,108.63671731029116,24419,258.7171717171717,99,678.3157270531788
kmc_runs_v2_1.1,run_101,DPN_1000,kmc_runs_v2_1.1/run_101/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_101/DPN_1000/zip_length.csv,0.000715882,108448.75,1168.5956126045558,19009,21647.85185185185,27,1128.5049484694268,39103,3656.409465020576,486,543.0968595546203
kmc_runs_v2_1.1,run_101,DPN_2000,kmc_runs_v2_1.1/run_101/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_101/DPN_2000/zip_length.csv,0.000261119,108452.56,2315.91496258678,37019,65024.07407407407,27,2304.3784969270396,39213,10945.574610244988,449,544.6305753074155
kmc_runs_v2_1.1,run_101,DPN_4000,kmc_runs_v2_1.1/run_101/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_101/DPN_4000/zip_length.csv,0.000242517,108454.53,4569.977892450507,72283,219013.92592592593,27,4844.442800314187,39467,29512.80109489051,548,548.152379574482
kmc_runs_v2_1.1,run_101,DPN_500,kmc_runs_v2_1.1/run_101/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_101/DPN_500/zip_length.csv,0.000263348,108441.13,585.3138885963989,9497,7194.2962962962965,27,555.5553475250064,38990,1858.2782608695652,230,541.5336309183053
kmc_runs_v2_1.1,run_102,DPN_100,kmc_runs_v2_1.1/run_102/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_102/DPN_100/zip_length.csv,0.00236123,74220.03,130.5522041763341,431,458.57894736842104,19,109.29367816091954,13920,159.4,210,386.6760869531047
kmc_runs_v2_1.1,run_102,DPN_1000,kmc_runs_v2_1.1/run_102/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_102/DPN_1000/zip_length.csv,0.000966866,74288.36,1282.9172729162337,4811,25150.69230769231,13,1137.4935879795255,18169,3316.435261707989,363,252.34968340159654
kmc_runs_v2_1.1,run_102,DPN_2000,kmc_runs_v2_1.1/run_102/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_102/DPN_2000/zip_length.csv,0.00110669,74292.14,2579.7336909871246,9320,2651.843778383288,7707,2909.7040124055047,5159,9752.4930362117,359,154146.54465062844
kmc_runs_v2_1.1,run_102,DPN_4000,kmc_runs_v2_1.1/run_102/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_102/DPN_4000/zip_length.csv,0.00103648,74294.1,4967.697531512605,19040,5532.032847356402,11386,6113.99469804733,7733,13471.985663082438,1395,227718.10433464166
kmc_runs_v2_1.1,run_102,DPN_500,kmc_runs_v2_1.1/run_102/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_102/DPN_500/zip_length.csv,0.0019419,74280.78,655.3591114767586,2431,653.7521194993944,2477,681.6493644067797,1888,1467.5172413793102,232,49532.01150176783
kmc_runs_v2_1.1,run_103,DPN_100,kmc_runs_v2_1.1/run_103/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_103/DPN_100/zip_length.csv,0.00115288,94399.04,113.87327376116978,1231,362.3333333333333,27,108.4388802488336,19290,177.14615384615385,130,535.8326715974363
kmc_runs_v2_1.1,run_103,DPN_1000,kmc_runs_v2_1.1/run_103/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_103/DPN_1000/zip_length.csv,0.000421551,94463.78,1163.7612530915087,12130,1164.0481888745148,12368,2208.336898395722,748,2115.9235364396654,837,247351.15064457708
kmc_runs_v2_1.1,run_103,DPN_2000,kmc_runs_v2_1.1/run_103/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_103/DPN_2000/zip_length.csv,0.000486729,94467.37,2312.58246337941,24235,57393.5,20,2288.3248681988903,29021,12693.688073394496,218,403.0739161371895
kmc_runs_v2_1.1,run_103,DPN_4000,kmc_runs_v2_1.1/run_103/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_103/DPN_4000/zip_length.csv,0.000264614,94469.22,4533.042745435107,47701,162689.9,20,4721.37927857216,29303,29614.17391304348,322,406.9926538466603
kmc_runs_v2_1.1,run_103,DPN_500,kmc_runs_v2_1.1/run_103/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_103/DPN_500/zip_length.csv,0.000292661,94456.61,579.2637327336975,6226,614.6603773584906,3021,573.0140175219024,7990,1450.1473214285713,224,60425.05267564118
kmc_runs_v2_1.1,run_104,DPN_100,kmc_runs_v2_1.1/run_104/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_104/DPN_100/zip_length.csv,0.00225775,63580.23,109.86697247706422,218,171.0625,16,107.91653501843075,11394,119.36893203883496,103,316.5065415353413
